"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Estrogen-dependent gene expression","REAC:R-HSA-9018519","false","0.018000890749760766","1.7447060038892284","147","327","15","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000188486,ENSG00000182481,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","DNA strand elongation","REAC:R-HSA-69190","false","0.018515668072619347","1.7324606133462326","32","327","7","10842","ENSG00000168496,ENSG00000125885,ENSG00000093009,ENSG00000100297,ENSG00000163918,ENSG00000147536,ENSG00000104738"
"REAC","Impaired BRCA2 binding to PALB2","REAC:R-HSA-9709603","false","0.030244575274299256","1.5193525099274459","24","327","6","10842","ENSG00000174371,ENSG00000139618,ENSG00000051180,ENSG00000012048,ENSG00000136492,ENSG00000196584"
"REAC","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","REAC:R-HSA-110328","false","0.030453312257268376","1.5163654643834066","59","327","9","10842","ENSG00000188486,ENSG00000109674,ENSG00000278463,ENSG00000277224,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","Depyrimidination","REAC:R-HSA-73928","false","0.030453312257268376","1.5163654643834066","59","327","9","10842","ENSG00000188486,ENSG00000109674,ENSG00000278463,ENSG00000277224,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","Cleavage of the damaged pyrimidine ","REAC:R-HSA-110329","false","0.030453312257268376","1.5163654643834066","59","327","9","10842","ENSG00000188486,ENSG00000109674,ENSG00000278463,ENSG00000277224,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","Base-Excision Repair, AP Site Formation","REAC:R-HSA-73929","false","0.03489142935781945","1.4572812389354248","60","327","9","10842","ENSG00000188486,ENSG00000109674,ENSG00000278463,ENSG00000277224,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
"REAC","Chromatin modifying enzymes","REAC:R-HSA-3247509","false","0.03723794393535144","1.4290143062670184","272","327","21","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000184270,ENSG00000188486,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000196787,ENSG00000274997,ENSG00000276368,ENSG00000276903,ENSG00000275221,ENSG00000233822,ENSG00000275126,ENSG00000278677,ENSG00000274641,ENSG00000106462"
"REAC","Chromatin organization","REAC:R-HSA-4839726","false","0.03723794393535144","1.4290143062670184","272","327","21","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000184270,ENSG00000188486,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000196787,ENSG00000274997,ENSG00000276368,ENSG00000276903,ENSG00000275221,ENSG00000233822,ENSG00000275126,ENSG00000278677,ENSG00000274641,ENSG00000106462"
"REAC","Signaling by NOTCH","REAC:R-HSA-157118","false","0.03747133522674242","1.4263008312917196","232","327","19","10842","ENSG00000183598,ENSG00000203811,ENSG00000203852,ENSG00000188486,ENSG00000126787,ENSG00000074370,ENSG00000114315,ENSG00000013810,ENSG00000214357,ENSG00000286522,ENSG00000278463,ENSG00000277224,ENSG00000277775,ENSG00000273983,ENSG00000278588,ENSG00000276368,ENSG00000233822,ENSG00000275126,ENSG00000274641"
