"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000230368|FAM41C",3.55905135624199,-0.0585123088083404,0.93591945310661,-0.0625185304292156,0.950149905655726,0.975114481999958
"ENSG00000188290|HES4",30.3380489548321,0.130705119258807,0.38646873134568,0.338203607840906,0.735209757226605,0.852826789938686
"ENSG00000187608|ISG15",379.851663955752,0.0695711750690927,0.138139947128433,0.503628215554549,0.614522661144061,0.773456050334469
"ENSG00000187583|PLEKHN1",43.9192186397495,-0.231546191668711,0.390066644621556,-0.593606746081451,0.552775167919311,0.72701837773258
"ENSG00000187642|PERM1",7.70655354232102,-0.321301749999355,0.911873215810341,-0.352353533834009,0.724573144849601,0.845950856345497
"ENSG00000291156",14.8548440531948,-0.0712934713398491,0.524832529569603,-0.13584042017806,0.891947436523923,0.946106571959723
"ENSG00000186891|TNFRSF18",5.66440871109202,2.44769916260378,1.24099054995704,1.97237534378365,0.0485667743714691,0.125299269104648
"ENSG00000131591|C1orf159",303.283576782321,-0.481890276579294,0.104776400383308,-4.59922534861259,4.24064867965971e-06,3.84464207939142e-05
"ENSG00000238009",6.5424409929621,-0.322898545061517,0.712112780280656,-0.453437368353729,0.650233833433204,0.798935504602577
"ENSG00000292994",41.4821623125468,0.170658143269245,0.324457772561864,0.52597951937399,0.598902437016428,0.761841009409566
"ENSG00000290385",47.7978685492741,-0.00180039399513003,0.313715976179336,-0.00573892989785393,0.995421021574003,0.997237832276204
"ENSG00000293331",12.5605608124617,0.788598680159178,0.501172795889369,1.57350655627616,0.115601571408684,0.246117952071279
"ENSG00000237491|LINC01409",42.7826492820481,-0.5811501842259,0.386954551194051,-1.50185643877971,0.133134188765155,0.274019430556897
"ENSG00000228794|LINC01128",456.053034369086,-0.216541943635867,0.0992242530068389,-2.18234894266165,0.0290837894502249,0.0830826113881181
"ENSG00000227232|WASH7P",475.128567545317,0.133716270813337,0.0858104222946137,1.55827540801801,0.119167975950248,0.251452265287836
"ENSG00000278267|MIR6859-1",15.5844380420795,-0.0999693988055715,0.466195094160521,-0.214436831399066,0.830206422296483,0.910529264710277
"ENSG00000241860",60.1031477833001,0.238988425568025,0.279366110668791,0.855466774391128,0.392292790681744,0.58870859628064
"ENSG00000279457|WASH9P",384.146139393879,0.259370425199208,0.102171620284244,2.53857602020632,0.0111304618554356,0.0379324965405576
"ENSG00000273874|MIR6859-2",8.20313540983875,-0.14542003824358,0.598228730551724,-0.243084343524365,0.807940059573035,0.897816396514351
"ENSG00000228463",11.7760630201286,0.78890102501529,0.578197593387408,1.36441423146275,0.172437231324699,0.33201290233274
"ENSG00000236679|RPL23AP24",3.33507337009279,-0.0365498865081657,0.94363379606357,-0.0387331257746765,0.96910316266846,NA
"ENSG00000250575",2.18198666805766,-0.233966200027773,1.42680510088682,-0.163979088582142,0.869747605860154,NA
"ENSG00000225972|MTND1P23",3.46556835647844,-0.747572079382751,1.12950860757294,-0.661856026922287,0.508063495525006,0.690640536343885
"ENSG00000225630|MTND2P28",45.9011976699862,-0.38605437227987,0.27264653510841,-1.41595187382949,0.156789595526337,0.309454710776716
"ENSG00000237973|MTCO1P12",3360.73411669322,0.255369691862775,0.084236711361079,3.03157243126619,0.00243283544098281,0.0103559350261264
"ENSG00000248527|MTATP6P1",134.175105415171,-0.210035863507263,0.248348835634398,-0.845729205738913,0.397703826543056,0.593498510617923
"ENSG00000198744|MTCO3P12",4.65874033958952,-0.445857599100977,1.05337401603547,-0.423266183059108,0.672101064253415,0.813573443108219
"ENSG00000291215",131.381848010003,-0.365521007377758,0.167465410926678,-2.18266569409843,0.0290604380506589,0.0830446111605212
"ENSG00000290784",12.2370879519005,0.499132970789325,0.618949429486762,0.806419631411908,0.420000931240239,0.614203142663458
"ENSG00000230092",12.9898833497416,0.791624520673594,0.788847491425099,1.00352036265397,0.315609857184688,0.511894586765893
"ENSG00000177757|FAM87B",9.17905962100735,-1.7377116450386,0.771409120595384,-2.25264596780682,0.0242814803018977,0.0719407835421849
"ENSG00000225880|LINC00115",73.1126102567698,0.00558935538891544,0.41652262568023,0.0134190918915566,0.989293435086171,0.994346687983199
"ENSG00000188157|AGRN",2344.81272558514,0.248948044576998,0.0739053671327129,3.36847044044797,0.000755865016998701,0.00372301257505106
"ENSG00000272438",3.25055580318081,1.90119750605373,1.73510259594559,1.09572627606936,0.273198580104857,NA
"ENSG00000223764|LINC02593",384.645895169716,-0.51435840756925,0.161769407779352,-3.17957773741014,0.00147489802973672,0.00666307626256195
"ENSG00000187634|SAMD11",472.228348483542,-1.20295072442762,0.179985634573236,-6.68359298385085,2.33153803648864e-11,5.95970837807353e-10
"ENSG00000230699",26.8786789515627,0.40076011756709,0.477453728026873,0.839369543145623,0.401261969469361,0.59669909990337
"ENSG00000188976|NOC2L",2926.42181993374,-0.395887541955554,0.0636009835957223,-6.2245506212923,4.82938203691198e-10,9.99317961566569e-09
"ENSG00000187961|KLHL17",419.09123314002,-0.15824949983364,0.126498692009987,-1.25099712352082,0.210935526901317,0.384772919510296
"ENSG00000176022|B3GALT6",1502.75095964692,-0.195345770021337,0.0593528416784818,-3.29126229674963,0.000997388682771674,0.0047137894190228
"ENSG00000078808|SDF4",8334.99022753605,0.128334189233681,0.0620084116101116,2.06962548953203,0.0384874291860415,0.103918549898052
"ENSG00000184163|C1QTNF12",34.8983589060378,0.398159110155091,0.517422212764697,0.769505251867023,0.441593427984369,0.632824164953485
